Institution name,Parent / affiliate relationship,Category,Capital type,Relevant team or strategy name,Primary U.S. office,Other relevant U.S. offices,Approximate AUM or relevant fund size,Typical transaction size,Specific data center focus,Example transactions,Number of relevant transactions since Jan 2024 (verified in this dataset),Most recent verified sector activity,Activity status,Dedicated digital infra team?,Dedicated AI infrastructure strategy?,Recent fund close or new vehicle,Recent senior hires or new U.S. office,Titles that own these deals at this firm,Careers page URL,Evidence strength,Source URLs,Notes
Goldman Sachs,Goldman Sachs Group,5,Multiple (Debt + Advisory),Goldman Sachs investment banking; infrastructure and data center financing team,New York NY,Unknown / Not verified,Unknown / Not verified,USD 500m - USD 2bn+,SASB CMBS; ABS; M&A advisory for AI infrastructure,2025 BX Trust 2025-VLT6 USD 2.05bn QTS CMBS (lead); Switch USD 3.5bn securitized financings (joint bookrunner); 2025 CoreWeave / Core Scientific merger (financial adviser to CoreWeave),3,2025,Very Active (12mo),Yes,Yes,Unknown / Not verified,Reported creation of a dedicated team to expand in data center and infrastructure financing,Unknown / Not verified,Unknown / Not verified,A,https://www.costar.com/article/376853552/goldman-sachs-leading-2-billion-loan-on-four-of-blackstones-qts-data-centers | https://www.switch.com/switch-announces-3-5-billion-in-securitized-debt-financings/ | https://www.sec.gov/Archives/edgar/data/1769628/000095010325008492/dp231291_ex9901.htm | https://seekingalpha.com/news/4505289-goldman-sachs-creating-team-to-expand-in-data-center-other-infrastructure-financing-markets---report,Appears in Categories 5 and 6; the asset management arm is listed separately in Category 4.
Morgan Stanley,Morgan Stanley,5,Multiple (Debt + Advisory),Morgan Stanley investment banking and securitized products,New York NY,Unknown / Not verified,Unknown / Not verified,USD 500m - USD 30bn,Arranging record private data center financings; ABS and CMBS bookrunning,2025-10 Meta Hyperion - arranged >USD 27bn debt and ~USD 2.5bn equity; Switch fourth ABS USD 659m (joint active bookrunner); BX Trust 2025-VLT6 QTS CMBS (syndicate),3,2025-10,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.bisnow.com/national/news/data-center-capital-markets/meta-pushes-its-largest-data-center-project-off-its-books-with-27b-joint-venture-131490 | https://www.switch.com/switch-raises-659-million-in-fourth-data-center-abs-offering/ | https://www.costar.com/article/376853552/goldman-sachs-leading-2-billion-loan-on-four-of-blackstones-qts-data-centers,Also publishes the widely cited data center financing gap research.
Wells Fargo,Wells Fargo & Company,5,Debt,Wells Fargo Securities securitized products,Charlotte NC,New York NY,Unknown / Not verified,USD 200m - USD 2bn,Data center ABS and CMBS structuring and bookrunning,Switch fourth ABS USD 659m (co-structuring adviser and lead left bookrunner); Switch USD 3.5bn securitized financings (joint bookrunner); BX Trust 2025-VLT6 QTS CMBS (syndicate),3,2025-10,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.switch.com/switch-raises-659-million-in-fourth-data-center-abs-offering/ | https://www.switch.com/switch-announces-3-5-billion-in-securitized-debt-financings/ | https://www.costar.com/article/376853552/goldman-sachs-leading-2-billion-loan-on-four-of-blackstones-qts-data-centers,One of the most consistent structuring banks in data center ABS.
Citigroup,Citigroup Inc.,5,Debt,Citigroup Global Markets securitized products,New York NY,Unknown / Not verified,Unknown / Not verified,USD 200m - USD 2bn,Data center ABS and CMBS,Switch USD 3.5bn securitized financings (co-lead manager and joint bookrunner); BX Trust 2025-VLT6 QTS CMBS (syndicate),2,2025,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.switch.com/switch-announces-3-5-billion-in-securitized-debt-financings/ | https://www.costar.com/article/376853552/goldman-sachs-leading-2-billion-loan-on-four-of-blackstones-qts-data-centers,
Barclays,Barclays PLC,5,Debt,Barclays securitized products and infrastructure finance,New York NY,Unknown / Not verified,Unknown / Not verified,USD 200m - USD 2bn,Data center ABS and CMBS; first euro data center ABS,Switch USD 3.5bn securitized financings (co-lead manager and joint bookrunner); BX Trust 2025-VLT6 QTS CMBS (syndicate); Vantage EUR 640m euro data center ABS (active joint lead manager),3,2025-06,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.switch.com/switch-announces-3-5-billion-in-securitized-debt-financings/ | https://vantage-dc.com/news/vantage-data-centers-completes-industrys-first-euro-based-data-center-asset-backed-securitization-abs-with-e640m-transaction/ | https://www.costar.com/article/376853552/goldman-sachs-leading-2-billion-loan-on-four-of-blackstones-qts-data-centers,
RBC Capital Markets,Royal Bank of Canada,5,Debt,RBC Capital Markets securitized products,New York NY,Unknown / Not verified,Unknown / Not verified,USD 200m - USD 2bn,Data center ABS structuring,Switch fourth ABS USD 659m (co-structuring adviser); Switch USD 3.5bn securitized financings (joint bookrunner); BX Trust 2025-VLT6 QTS CMBS (syndicate),3,2025-10,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.switch.com/switch-raises-659-million-in-fourth-data-center-abs-offering/ | https://www.rbccm.com/en/insights/2025/12/the-infrastructure-revolution-understanding-data-center-securitisation | https://www.costar.com/article/376853552/goldman-sachs-leading-2-billion-loan-on-four-of-blackstones-qts-data-centers,Publishes dedicated data center securitization research - a signal of a committed desk.
Scotiabank,Bank of Nova Scotia,5,Debt,Scotiabank Global Banking and Markets,New York NY,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 1bn,Data center CMBS syndication,BX Trust 2025-VLT6 QTS CMBS (originating lender / syndicate),1,2025,Active (24mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.costar.com/article/376853552/goldman-sachs-leading-2-billion-loan-on-four-of-blackstones-qts-data-centers,
BMO Capital Markets,Bank of Montreal,5,Debt,BMO Capital Markets,New York NY,Chicago IL,Unknown / Not verified,USD 100m - USD 1bn,Data center CMBS syndication,BX Trust 2025-VLT6 QTS CMBS (originating lender / syndicate),1,2025,Active (24mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.costar.com/article/376853552/goldman-sachs-leading-2-billion-loan-on-four-of-blackstones-qts-data-centers,
Bank of America,Bank of America Corporation,5,Debt,BofA Securities,New York NY,Charlotte NC,Unknown / Not verified,USD 100m - USD 2bn,Data center CMBS syndication,BX Trust 2025-VLT6 QTS CMBS (originating lender / syndicate),1,2025,Active (24mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.costar.com/article/376853552/goldman-sachs-leading-2-billion-loan-on-four-of-blackstones-qts-data-centers,Almost certainly more active than this single verified data point; needs a league-table pull to size properly.
TD Securities,Toronto-Dominion Bank,5,Debt,TD Securities (USA) LLC,New York NY,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 2bn,Data center ABS bookrunning; construction facility arranging,Switch fourth ABS USD 659m (joint active bookrunning manager); DataBank credit facility expansion (facilitated by TD Securities); DataBank Red Oak USD 1.45bn upsize (joint lead arranger),3,2025,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.switch.com/switch-raises-659-million-in-fourth-data-center-abs-offering/ | https://www.datacenterdynamics.com/en/news/databank-secures-145bn-for-data-center-build-out/ | https://www.td.com/us/en/commercial-banking/data-center-financing,TD Bank also publishes a dedicated data center financing practice page.
Truist Securities,Truist Financial,5,Debt,Truist Securities,Atlanta GA,New York NY,Unknown / Not verified,USD 100m - USD 1bn,Data center ABS bookrunning; construction lending,Switch fourth ABS USD 659m (joint active bookrunning manager); DataBank Red Oak USD 1.45bn (joint lead arranger),2,2025,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.switch.com/switch-raises-659-million-in-fourth-data-center-abs-offering/ | https://www.datacenterdynamics.com/en/news/databank-secures-145bn-for-data-center-build-out/,
Citizens Financial Group,"Parent of DH Capital (acquired Dec 2021), which operates as Citizens' digital infrastructure advisory division",5,Multiple (Debt + Advisory),Citizens Digital Infrastructure (incorporating DH Capital),New York NY,Boston MA,Unknown / Not verified,USD 50m - USD 2bn,Middle-market data center M&A advisory; construction facility arranging,DataBank Red Oak USD 1.45bn (lead arranger); >170 transactions and >USD 90bn total deal value across digital infrastructure (firm claim); DH Capital sell-side adviser to Patria Investments on a hyperscale data center platform,2,2025,Very Active (12mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.datacenterdynamics.com/en/news/databank-secures-145bn-for-data-center-build-out/ | https://www.citizensbank.com/corporate-finance/industries/digital-infrastructure-advisory.aspx | https://pbn.com/citizens-division-dh-capital-advises-patria-investments-on-sale-of-hyperscale-data-center-platform/,Deduplication: DH Capital is now a Citizens division but retains its brand and team - the practical counterparty is the DH Capital team.
PNC Bank,PNC Financial Services Group,5,Debt,PNC corporate banking,Pittsburgh PA,New York NY,Unknown / Not verified,USD 50m - USD 500m,Data center construction facility participation,DataBank Red Oak USD 1.45bn (joint lead arranger),1,2025,Active (24mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.datacenterdynamics.com/en/news/databank-secures-145bn-for-data-center-build-out/,
Deutsche Bank,Deutsche Bank AG,5,Debt,Deutsche Bank securitized products and infrastructure finance,New York NY,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 1bn,Data center ABS; construction facility arranging,Vantage EUR 640m euro data center ABS (active joint lead manager); DataBank credit facility expansion (joint lead arranger),2,2025,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://vantage-dc.com/news/vantage-data-centers-completes-industrys-first-euro-based-data-center-asset-backed-securitization-abs-with-e640m-transaction/ | https://www.datacenterdynamics.com/en/news/databank-secures-145bn-for-data-center-build-out/,
Societe Generale,Societe Generale S.A.,5,Debt,SG Americas infrastructure and asset finance,New York NY,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 5bn,Rated data center construction loans; ABS co-management,Vantage New Albany OH USD 5bn incremental green loans (co-lead with MUFG); Vantage EUR 640m euro data center ABS (co-manager); DataBank credit facility expansion (joint lead arranger),3,2025,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://vantage-dc.com/news/vantage-data-centers-secures-5b-in-incremental-green-loan-financings-to-support-demand-for-north-america-platform/ | https://vantage-dc.com/news/vantage-data-centers-completes-industrys-first-euro-based-data-center-asset-backed-securitization-abs-with-e640m-transaction/ | https://www.datacenterdynamics.com/en/news/databank-secures-145bn-for-data-center-build-out/,Co-led one of the first privately rated data center construction loans.
CoBank,Farm Credit System institution,5,Debt,CoBank communications and digital infrastructure lending,Greenwood Village CO,Unknown / Not verified,Unknown / Not verified,USD 25m - USD 300m,Data center and communications infrastructure syndicated lending,DataBank credit facility expansion (joint lead arranger),1,2025,Active (24mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.datacenterdynamics.com/en/news/databank-secures-145bn-for-data-center-build-out/,An unusual and easily missed lender in this market - a cooperative bank appearing on a hyperscale-adjacent facility.
First Citizens Bank,First Citizens BancShares,5,Debt,First Citizens technology and communications finance,Raleigh NC,New York NY,Unknown / Not verified,USD 25m - USD 250m,Communications and digital infrastructure lending,2025-03 Connectivity Wireless USD 200m (co-provider with Post Road Group),1,2025-03,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.businesswire.com/news/home/20250327475137/en/Connectivity-Wireless-Secures-$200-million-of-capital-from-First-Citizens-Bank-and-Post-Road-Group-to-Accelerate-Growth,
Mizuho,Mizuho Financial Group,5,Debt,Mizuho project finance,New York NY,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 1bn,Data center project finance,AdaniConneX USD 213m construction facility (mandated lead arranger and bookrunner) - non-US asset,0,2023,Historically Active (since 2018),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://www.edgeconnex.com/news/press-releases/adaniconnex-seals-the-largest-data-center-financing-deal-in-india-with-a-usd-213-mn-construction-financing-facility/,C-rated for US activity specifically: the verified transaction is non-US. Mizuho's US data center lending is likely but unconfirmed in this pass.
Natixis,Groupe BPCE,5,Debt,Natixis infrastructure and energy finance,New York NY,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 1bn,Data center project finance,AdaniConneX USD 213m construction facility (mandated lead arranger and bookrunner) - non-US asset,0,2023,Historically Active (since 2018),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://www.edgeconnex.com/news/press-releases/adaniconnex-seals-the-largest-data-center-financing-deal-in-india-with-a-usd-213-mn-construction-financing-facility/,Same caveat as Mizuho.
ING,ING Groep N.V.,5,Debt,ING infrastructure finance,New York NY,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 1bn,Data center project finance,AdaniConneX USD 213m construction facility (mandated lead arranger and bookrunner) - non-US asset,0,2023,Historically Active (since 2018),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://www.edgeconnex.com/news/press-releases/adaniconnex-seals-the-largest-data-center-financing-deal-in-india-with-a-usd-213-mn-construction-financing-facility/,Same caveat as Mizuho.
Standard Chartered,Standard Chartered PLC,5,Debt,Standard Chartered project and export finance,New York NY,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 1bn,Data center project finance,AdaniConneX USD 213m construction facility (mandated lead arranger and bookrunner) - non-US asset,0,2023,Historically Active (since 2018),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://www.edgeconnex.com/news/press-releases/adaniconnex-seals-the-largest-data-center-financing-deal-in-india-with-a-usd-213-mn-construction-financing-facility/,Same caveat as Mizuho.
Macquarie Capital,Macquarie Group (investment banking arm; distinct from Macquarie Asset Management),5,Multiple (Debt + Advisory + Principal),Macquarie Capital principal finance and advisory,New York NY,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 1bn,Principal capital and strategic partnerships with data center developers,2021-06 Prime Data Centers strategic partnership (principal capital provider); Applied Digital senior secured note (repaid Feb 2025 from SMBC proceeds),1,2025-02,Active (24mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.businesswire.com/news/home/20210624005211/en/Macquarie-Capital-Announces-Strategic-Partnership-With-Prime-Data-Centers | https://www.globenewswire.com/news-release/2025/02/12/3024998/0/en/Applied-Digital-Closes-375-Million-Financing-with-SMBC-to-Support-Ellendale-HPC-Campus.html,Deduplication: Macquarie Capital and Macquarie Asset Management are separate counterparties and appear as separate rows.
Moelis & Company,Independent,6,Advisory,Moelis technology and infrastructure M&A,New York NY,Unknown / Not verified,n/a,USD 500m - USD 10bn+,Sell-side advisory on AI/HPC colocation platform mergers,2025 Core Scientific / CoreWeave merger (financial adviser to Core Scientific),1,2025,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.sec.gov/Archives/edgar/data/1769628/000095010325008492/dp231291_ex9901.htm,
PJT Partners,Independent,6,Advisory,PJT Partners strategic advisory,New York NY,Unknown / Not verified,n/a,USD 500m - USD 10bn+,Sell-side advisory on AI/HPC colocation platform mergers,2025 Core Scientific / CoreWeave merger (financial adviser to Core Scientific),1,2025,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.sec.gov/Archives/edgar/data/1769628/000095010325008492/dp231291_ex9901.htm,
Houlihan Lokey,Independent,6,Advisory,Digital Infrastructure and Connectivity group,New York NY,Los Angeles CA; Chicago IL,n/a,USD 50m - USD 2bn,Middle-market digital infrastructure and connectivity M&A; publishes a quarterly Digital Infrastructure Industry Update,Ntirety sale to 11:11 Systems (sell-side adviser),1,2025,Very Active (12mo),Yes,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www2.hl.com/pdf/2026/digital-infrastructure-industry-update-q4-2025.pdf,The quarterly Digital Infrastructure Industry Update is itself a high-yield source for extending this dataset.
Q Advisors,Independent TMT boutique,6,Advisory,Q Advisors TMT investment banking,Denver CO,Unknown / Not verified,n/a,USD 25m - USD 500m,"Data center, cloud services, internet infrastructure and telecom M&A and financings","Atlantic Metro sale to 365 Data Centers (exclusive financial adviser, sell-side)",Unknown / Not verified,2020 verified; firm transactions page current,Historically Active (since 2018),Yes,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.qllc.com/transactions | https://www.prnewswire.com/news-releases/365-data-centers-acquires-atlantic-metro-301174639.html,Denver-based; the transactions page should be mined for a fuller deal list.
Bank Street Group,Independent,6,Advisory,Bank Street communications infrastructure and services,Stamford CT,Unknown / Not verified,n/a,USD 25m - USD 1bn,Communications infrastructure and data center M&A and capital raising,Ranked No.1 Communications Infrastructure and Services M&A Adviser in the Americas at the TMT M&A Awards 2020 with 10 qualifying deals,Unknown / Not verified,Firm news page current,Active (24mo),Yes,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.bankstreet.com/news.html,A perennial top-ranked comms infra boutique that rarely appears in data-center-specific lists.
Layer 7 Capital,Independent,6,Advisory,Layer 7 Capital digital infrastructure investment banking,White Plains NY,Unknown / Not verified,n/a,USD 10m - USD 300m,"Data centers, fiber, bare metal, towers; digital infrastructure and software M&A",Adviser to ScaleSec (2025); firm transactions page lists digital infrastructure deals,1,2025,Active (24mo),Yes,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.layer7capital.com/transactions | https://www.layer7capital.com/,"Small, genuinely digital-infrastructure-native boutique - a hidden gem."
TAP Advisors / TAP Securities,Independent,6,Advisory,TAP Advisors technology and communications,New York NY,Unknown / Not verified,n/a,USD 25m - USD 500m,Data center sale-and-leaseback and sale-and-service-back structures,2025 Imagination Technologies data center sale-and-service-back to Stellanor (DWS) - financial adviser to Imagination,1,2025,Active (24mo),Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.tapadvisors.com/,"Advised on an unusual structure (sale-and-service-back), which is worth noting for structuring-heavy mandates."
Media Venture Partners,Independent,6,Advisory,Media Venture Partners TMT advisory,San Francisco CA,Unknown / Not verified,n/a,USD 10m - USD 250m,Digital infrastructure and technology services financings and M&A,Unknown / Not verified - firm transaction list not pulled in this pass,Unknown / Not verified,Unknown / Not verified,Historically Active (since 2018),Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://www.linkedin.com/company/media-venture-partners-llc,C-rated: sector coverage is described but no specific data center transaction was confirmed in this pass.
Waller Capital Partners,Independent,6,Advisory,Waller Capital communications infrastructure,New York NY,Unknown / Not verified,n/a,USD 10m - USD 250m,"Communications infrastructure, cable and digital media M&A",Unknown / Not verified - most recent transaction visible in secondary profiles dates to 2018,0,2018,Historically Active (since 2018),Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://mergr.com/advisor/financial/waller-capital-partners,C-rated and possibly dormant in this sector; retained for completeness with the caveat.
Union Square Advisors,Independent,6,Advisory,Union Square Advisors technology investment banking - Data Infrastructure coverage,San Francisco CA,New York NY,n/a,USD 50m - USD 1bn,Data infrastructure coverage within technology M&A and capital solutions,Firm transactions page lists data infrastructure deals,Unknown / Not verified,Firm site current,Active (24mo),Yes,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://www.usadvisors.com/transactions/,C-rated: named sector coverage confirmed; a specific data center transaction was not isolated in this pass.
Brown Gibbons Lang & Company (BGL),Independent,6,Advisory,Digital Infrastructure investment banking team (within Infrastructure and Environment),Cleveland OH,Chicago IL,n/a,USD 25m - USD 500m,"Broadband, wireless telecom, data center and wireless infrastructure M&A","New Digital Infrastructure investment banking team established, led by a Managing Director with ~30 years of telecom and digital infrastructure experience",Unknown / Not verified,2025,Active (24mo),Yes,Unknown / Not verified,n/a,New Digital Infrastructure team established (recent),"Managing Director, Digital Infrastructure",Unknown / Not verified,B,https://www.bglco.com/industry-coverage/infrastructure-investment-banking/digital-infrastructure-investment-banking/,A newly formed team - one of the clearest hiring-expansion signals in Category 6.
Perella Weinberg Partners,Independent,6,Advisory,PWP infrastructure and financing advisory,New York NY,Unknown / Not verified,n/a,USD 100m - USD 1bn,Data center construction debt facility advisory,maincubes SECURE DATACENTERS EUR 1.035bn scalable construction debt facility (sole financial adviser) - European asset,1,2025,Active (24mo),Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://www.linkedin.com/company/perella-weinberg-partners,C-rated: the transaction was surfaced through a search summary rather than a primary PWP release; verify before use.
Lake Street Capital Markets,Independent,6,Advisory,Lake Street investment banking,Minneapolis MN,Unknown / Not verified,n/a,USD 10m - USD 200m,Advisory on AI infrastructure corporate separations,"Applied Digital cloud business separation into an independent public company - financial adviser to the counterparty (EKSO), closed 5 May 2026",1,2026-05,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://ir.applieddigital.com/news-events/press-releases/detail/151/applied-digital-completes-separation-of-cloud-business,
Flow Partners,Independent,6,Advisory,Flow Partners data center M&A advisory,Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Dedicated M&A advisory practice for data center companies,Unknown / Not verified,Unknown / Not verified,Firm site current,Active (24mo),Yes,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://www.flowpartners.io/ma-advisory/data-centers,"C-rated: a named data center practice, no confirmed transaction in this pass."
Newmark,Newmark Group (NASDAQ: NMRK),9,Advisory (Real estate capital markets),Data Center and Digital Infrastructure Capital Markets,New York NY,Washington DC / Northern Virginia; Dallas TX,n/a,USD 100m - USD 5bn,"Investment sales, debt and equity placement, JVs and recapitalizations for data centers and powered land",2025 USD 2.3bn loan for a 206MW build-to-suit development in Abilene TX; 2025 USD 600m loan for a 50MW BTS in Northern Virginia (Blue Owl / Chirisa / PowerHouse); strategic adviser on the Blue Owl / Chirisa / PowerHouse JV of up to USD 5bn,3,2025,Very Active (12mo),Yes,Yes,n/a,Closed almost USD 17bn in data center deals in the prior year (firm/press claim),Unknown / Not verified,Unknown / Not verified,A,https://www.nmrk.com/services/investor-solutions/capital-markets/data-center-and-digital-infrastructure-capital-markets | https://www.bisnow.com/national/news/capital-markets/newmark-projects-40-growth-by-2026-predicting-data-center-boom-will-lead-to-more-industrial-strength-128057,The most transaction-visible of the brokerage capital markets teams in this dataset.
CBRE,CBRE Group (NYSE: CBRE),9,Advisory (Real estate capital markets),Data Center Capital Markets,Dallas TX,New York NY; Washington DC / Northern Virginia,n/a,USD 50m - USD 2bn,"Acquisition, disposition and recapitalization of data center properties; debt and structured finance","USD 9bn of North American data center sales, leasing and financing transactions booked in a single year (firm/press claim)",Unknown / Not verified,2025,Very Active (12mo),Yes,Unknown / Not verified,n/a,Data center contribution to earnings rose from 3% to 10% of profit between 2021 and 2024,Unknown / Not verified,Unknown / Not verified,B,https://www.cbre.com/services/invest-finance-and-value/capital-markets/data-center-capital-markets | https://www.costar.com/article/1509917870/how-the-top-real-estate-services-firms-aim-to-cash-in-on-the-data-center-boom,Strategy skews toward recurring project and facilities management alongside capital markets.
JLL,Jones Lang LaSalle (NYSE: JLL),9,Advisory (Real estate capital markets),National Data Center Capital Markets team; Capital Markets Debt Advisory,Chicago IL,Washington DC; Dallas TX,n/a,USD 50m - USD 1.2bn+,Construction financing placement for hyperscale powered shell campuses; investment sales,Over USD 1.2bn of construction financing arranged for The BlackChamber Group across four Northern Virginia hyperscale powered shell campuses totalling 740MW+ (debt placement),1,2025,Very Active (12mo),Yes,Unknown / Not verified,n/a,Expanded Asia Pacific data center capital markets platform (Jan 2025),"Senior Managing Director (National Data Center Capital Markets); Senior Managing Director and Co-Head, Washington DC; Senior Director, Debt Advisory",Unknown / Not verified,A,https://www.prnewswire.com/news-releases/jll-raises-over-1-2b-of-construction-financing-in-northern-virginia-for-data-center-developer-the-blackchamber-group-302351933.html | https://www.jll.com/en-us/newsroom/jll-north-america-data-center-report-year-end-2025,The BlackChamber Group is itself a developer counterparty worth adding to a future pass.
Cushman & Wakefield,Cushman & Wakefield plc (NYSE: CWK),9,Advisory (Real estate capital markets),Global Data Center Advisory Group; Valuation and Advisory - Data Center,Chicago IL,New York NY; Dallas TX,n/a,USD 25m - USD 1bn,"Data center investment sales, equity, debt and structured financing; valuation and advisory",Global Data Center Advisory Group brochure and Americas data center market reporting,Unknown / Not verified,2026-02,Active (24mo),Yes,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.cushmanwakefield.com/en/industries/data-centers | https://www.cushmanwakefield.com/-/media/cw/americas/united-states/industries-and-specialties/data-centers/global-data-center-advisory-group---brochure.pdf,Strong valuation and advisory franchise; capital markets deal evidence is thinner than Newmark or JLL.
Colliers,Colliers International (NASDAQ: CIGI); majority owner of Harrison Street,9,Advisory (Real estate capital markets),Colliers data center practice,Chicago IL,Unknown / Not verified,n/a,USD 25m - USD 500m,"Data center marketplace research, investment sales and advisory",2025 Data Center Marketplace research programme,Unknown / Not verified,2025,Active (24mo),Yes,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://www.colliers.com/en/research/nrep-usdc-data-center-marketplace-2025,"C-rated on transactions; note the Harrison Street ownership link, which is the stronger capital connection."
Cresa,Independent occupier-focused advisory,9,Advisory (Real estate),Cresa data center practice,Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Data center site and transaction advisory; team recruited from Newmark,"Recruited a Newmark data center team including the founder of Newmark's data center practice (1,000+ transactions across 50+ markets)",Unknown / Not verified,2025,Active (24mo),Yes,Unknown / Not verified,n/a,Hired a data center team from Newmark,Unknown / Not verified,Unknown / Not verified,B,https://www.costar.com/article/1676924903/cbre-appoints-north-america-advisory-leaders-cresa-grabs-newmark-data-center-team-jll-names-executive-to-grow-stadium-business,"Included because the team move is itself a hiring signal; Cresa is occupier-side, so capital markets relevance is narrower."
